"method","true_group","tau_true","iteration","estimate"
"L0 (L=0.5)","Group A (tau=2)",2,36,2.0500423533845
"Pooled","Group A (tau=2)",2,36,2.62170780399806
"DP Bayes","Group B (tau=4)",4,36,3.95633704591821
"Flexible","Group B (tau=4)",4,36,4.00871041657114
"L0 (L=0.5)","Group B (tau=4)",4,36,3.95559385542971
"Pooled","Group B (tau=4)",4,36,2.62170780399806
"DP Bayes","Group A (tau=2)",2,37,1.99400270460133
"Flexible","Group A (tau=2)",2,37,1.99828002015145
"L0 (L=0.5)","Group A (tau=2)",2,37,1.990566254884
"Pooled","Group A (tau=2)",2,37,2.60433256245355
"DP Bayes","Group B (tau=4)",4,37,4.03412865551214
"Flexible","Group B (tau=4)",4,37,4.07628503510177
"L0 (L=0.5)","Group B (tau=4)",4,37,4.0364539467825
"Pooled","Group B (tau=4)",4,37,2.60433256245355
"DP Bayes","Group A (tau=2)",2,38,1.98929541232486
"Flexible","Group A (tau=2)",2,38,1.96065547267328
"L0 (L=0.5)","Group A (tau=2)",2,38,1.98334925901548
"Pooled","Group A (tau=2)",2,38,2.55087361957965
"DP Bayes","Group B (tau=4)",4,38,3.86768560278592
"Flexible","Group B (tau=4)",4,38,3.86108878668332
"L0 (L=0.5)","Group B (tau=4)",4,38,3.87509712756269
"Pooled","Group B (tau=4)",4,38,2.55087361957965
"DP Bayes","Group A (tau=2)",2,39,2.03023296956791
"Flexible","Group A (tau=2)",2,39,2.05278066124421
"L0 (L=0.5)","Group A (tau=2)",2,39,2.0206744093074
"Pooled","Group A (tau=2)",2,39,2.62188182804645
"DP Bayes","Group B (tau=4)",4,39,4.03119837517609
"Flexible","Group B (tau=4)",4,39,4.05571213858686
"L0 (L=0.5)","Group B (tau=4)",4,39,4.02469913843754
"Pooled","Group B (tau=4)",4,39,2.62188182804645
"DP Bayes","Group A (tau=2)",2,40,1.93896414206498
"Flexible","Group A (tau=2)",2,40,1.95778987108348
"L0 (L=0.5)","Group A (tau=2)",2,40,1.9461724759677
"Pooled","Group A (tau=2)",2,40,2.55827639335193
"DP Bayes","Group B (tau=4)",4,40,3.98621230242663
"Flexible","Group B (tau=4)",4,40,3.97902794585352
"L0 (L=0.5)","Group B (tau=4)",4,40,3.98651886724851
"Pooled","Group B (tau=4)",4,40,2.55827639335193
"DP Bayes","Group A (tau=2)",2,41,2.01626567097285
"Flexible","Group A (tau=2)",2,41,2.06211415951032
"L0 (L=0.5)","Group A (tau=2)",2,41,2.0462256030738
"Pooled","Group A (tau=2)",2,41,2.59956179665715
"DP Bayes","Group B (tau=4)",4,41,3.98246903331087
"Flexible","Group B (tau=4)",4,41,4.00881019347602
"L0 (L=0.5)","Group B (tau=4)",4,41,4.01179551111721
"Pooled","Group B (tau=4)",4,41,2.59956179665715
"DP Bayes","Group A (tau=2)",2,42,1.94752876664227
"Flexible","Group A (tau=2)",2,42,1.93891548415545
"L0 (L=0.5)","Group A (tau=2)",2,42,1.95596773098858
"Pooled","Group A (tau=2)",2,42,2.56888571128536
"DP Bayes","Group B (tau=4)",4,42,3.9957008658678
"Flexible","Group B (tau=4)",4,42,3.9297307657771
"L0 (L=0.5)","Group B (tau=4)",4,42,3.9990276653112
"Pooled","Group B (tau=4)",4,42,2.56888571128536
"DP Bayes","Group A (tau=2)",2,43,1.9937861683008
"Flexible","Group A (tau=2)",2,43,2.00532933313851
"L0 (L=0.5)","Group A (tau=2)",2,43,1.99552414686442
"Pooled","Group A (tau=2)",2,43,2.62100327685104
"DP Bayes","Group B (tau=4)",4,43,4.07565967078024
"Flexible","Group B (tau=4)",4,43,4.12126198568947
"L0 (L=0.5)","Group B (tau=4)",4,43,4.08045458015313
"Pooled","Group B (tau=4)",4,43,2.62100327685104
"DP Bayes","Group A (tau=2)",2,44,1.96159811196382
"Flexible","Group A (tau=2)",2,44,1.98870022953808
"L0 (L=0.5)","Group A (tau=2)",2,44,1.98156123204195
"Pooled","Group A (tau=2)",2,44,2.54409342642114
"DP Bayes","Group B (tau=4)",4,44,3.89522421093071
"Flexible","Group B (tau=4)",4,44,3.91756640264916
"L0 (L=0.5)","Group B (tau=4)",4,44,3.92681235378164
"Pooled","Group B (tau=4)",4,44,2.54409342642114
"DP Bayes","Group A (tau=2)",2,45,2.01340125839087
"Flexible","Group A (tau=2)",2,45,2.00915122678728
"L0 (L=0.5)","Group A (tau=2)",2,45,2.02078132915083
"Pooled","Group A (tau=2)",2,45,2.6219181117765
"DP Bayes","Group B (tau=4)",4,45,4.02532927445056
"Flexible","Group B (tau=4)",4,45,3.99153025597557
"L0 (L=0.5)","Group B (tau=4)",4,45,4.02457060456971
"Pooled","Group B (tau=4)",4,45,2.6219181117765
"DP Bayes","Group A (tau=2)",2,46,1.98499740990354
"Flexible","Group A (tau=2)",2,46,1.99128297495724
"L0 (L=0.5)","Group A (tau=2)",2,46,1.97965952520656
"Pooled","Group A (tau=2)",2,46,2.59290352984455
"DP Bayes","Group B (tau=4)",4,46,4.02324966107886
"Flexible","Group B (tau=4)",4,46,4.04270681676312
"L0 (L=0.5)","Group B (tau=4)",4,46,4.03405604331115
"Pooled","Group B (tau=4)",4,46,2.59290352984455
"DP Bayes","Group A (tau=2)",2,47,1.95298502895
"Flexible","Group A (tau=2)",2,47,1.97364787968659
"L0 (L=0.5)","Group A (tau=2)",2,47,1.95182981630899
"Pooled","Group A (tau=2)",2,47,2.56314716397385
"DP Bayes","Group B (tau=4)",4,47,4.000577346354
"Flexible","Group B (tau=4)",4,47,3.99112069719494
"L0 (L=0.5)","Group B (tau=4)",4,47,3.98955430852517
"Pooled","Group B (tau=4)",4,47,2.56314716397385
"DP Bayes","Group A (tau=2)",2,48,1.97491810143668
"Flexible","Group A (tau=2)",2,48,1.97647593431132
"L0 (L=0.5)","Group A (tau=2)",2,48,1.97905987517094
"Pooled","Group A (tau=2)",2,48,2.57775661914753
"DP Bayes","Group B (tau=4)",4,48,3.96691341526618
"Flexible","Group B (tau=4)",4,48,3.97034189237964
"L0 (L=0.5)","Group B (tau=4)",4,48,3.97471568842626
"Pooled","Group B (tau=4)",4,48,2.57775661914753
"DP Bayes","Group A (tau=2)",2,49,2.03833394130782
"Flexible","Group A (tau=2)",2,49,2.03828465609881
"L0 (L=0.5)","Group A (tau=2)",2,49,2.03523841792802
"Pooled","Group A (tau=2)",2,49,2.62660577883242
"DP Bayes","Group B (tau=4)",4,49,4.00810857468184
"Flexible","Group B (tau=4)",4,49,3.9674518898271
"L0 (L=0.5)","Group B (tau=4)",4,49,4.00646295427599
"Pooled","Group B (tau=4)",4,49,2.62660577883242
"DP Bayes","Group A (tau=2)",2,50,1.99715104659383
"Flexible","Group A (tau=2)",2,50,1.98892617615923
"L0 (L=0.5)","Group A (tau=2)",2,50,2.00107414777776
